MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
01:54:.405	0.046748	296.811396
01:54:.727	0.015886	297.841015
01:55:.010	0.053063	298.970456
01:55:.333	0.000287	300.010337
01:55:.655	0.012007	301.087962
01:55:.944	0.069911	302.171028
01:56:.252	0.086744	303.163506
01:56:.564	0.047686	304.272440
01:56:.911	0.009425	305.380244
01:57:.190	0.038169	306.601632
01:57:.508	0.007141	307.761707
01:57:.801	-0.018830	308.840047
01:58:.095	-0.014689	309.929471
01:58:.407	0.022785	310.927769
01:58:.712	0.008826	312.020563
01:59:.025	-0.078337	313.173064
01:59:.339	-0.068726	314.242263
01:59:.634	-0.034736	315.284973
01:59:.941	0.013902	316.246242
02:00:.266	-0.033603	317.321257
02:00:.571	0.002907	318.341910
02:00:.898	0.067118	319.303497
02:01:.213	-0.029332	320.453568
02:01:.508	-0.006949	321.464505
02:01:.851	-0.056154	322.646690
02:02:.160	-0.043980	323.633738
02:02:.475	-0.091888	324.686564
02:02:.790	-0.102764	325.768041
02:03:.088	-0.077084	326.793001
02:03:.391	-0.051275	327.769725
02:03:.705	-0.079274	328.872358
02:04:.001	-0.058617	329.940323
02:04:.318	-0.048409	330.939895
02:04:.621	-0.058343	332.026655
02:04:.929	-0.013723	333.009560
02:05:.235	-0.039260	334.131264
02:05:.538	-0.044546	335.258608
02:05:.854	-0.057033	336.328480
02:06:.162	-0.065626	337.427705
02:06:.465	-0.085853	338.488658
02:06:.789	-0.112987	339.582330
02:07:.112	-0.059230	340.608758
02:07:.423	-0.050181	341.763415
02:07:.745	-0.005152	342.855737
02:08:.032	0.006575	343.998237
02:08:.365	-0.022526	345.037947
02:08:.702	-0.002495	346.129686
02:08:.997	0.066195	347.213223
02:09:.302	0.008052	348.255008
02:09:.626	0.040240	349.374747
02:09:.919	-0.014909	350.532233
02:10:.229	-0.060362	351.624662
02:10:.532	-0.076101	352.727399
02:10:.841	-0.065141	353.777708
